Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"Semi Custom","Base Cabinets","Essex Truffle 27"" Base w/ Utensil Tray & Soft-Close Rollouts",KET-B27BUTRY-SCRT,"Essex Truffle",85.7,1227,"Essex Truffle 27"" Base w/ Utensil Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 15"" Base w/ Spice Tray & Soft-Close Rollouts",KET-B15STRY-SCRT,"Essex Truffle",64.6,1008,"Essex Truffle 15"" Base w/ Spice Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Spice Tray & Soft-Close Rollouts",KET-B18STRY-SCRT,"Essex Truffle",68.2,1064,"Essex Truffle 18"" Base w/ Spice Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 21"" Base w/ Spice Tray & Soft-Close Rollouts",KET-B21STRY-SCRT,"Essex Truffle",73,1117,"Essex Truffle 21"" Base w/ Spice Tray & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Charging Drawer & Soft-Close Rollouts",KET-B18CHGDR18-SCRT,"Essex Truffle",80.2,2236,"Essex Truffle 18"" Base w/ Charging Drawer & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Charging Drawer & Tray Divider",KET-B18CHGDR18-TDIV,"Essex Truffle",65.8,2056,"Essex Truffle 18"" Base w/ Charging Drawer & Tray Divider",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Charging Drawer & Glideware Pullout",KET-B18CHGDR18-GDPO,"Essex Truffle",76.8,2344,"Essex Truffle 18"" Base w/ Charging Drawer & Glideware Pullout",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Charging Drawer & Trash",KET-B18CHGDR18-TR,"Essex Truffle",74.8,2390,"Essex Truffle 18"" Base w/ Charging Drawer & Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Charging Drawer & Door Mounted Trash",KET-B18CHGDR18-TR-DMK,"Essex Truffle",75.8,2468,"Essex Truffle 18"" Base w/ Charging Drawer & Door Mounted Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Charging Drawer & Soft-Close Trash",KET-B18CHGDR18-SFTTR-DMK,"Essex Truffle",89.8,2899,"Essex Truffle 18"" Base w/ Charging Drawer & Soft-Close Trash",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Soft-Close Rollouts",KET-B18TTCD-SCRT,"Essex Truffle",80.2,1340,"Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Soft-Close Rollouts",,,100,20
"Semi Custom","Base Cabinets","Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Tray Divider",KET-B18TTCD-TDIV,"Essex Truffle",55.8,1160,"Essex Truffle 18"" Base w/ Two-Tier Cutlery Drawer & Tray Divider",,,100,20
