Catalog,Cabinet_section,Cabinet_label,SKU,Cabinet_color,Weight,Cost,Details,Manufacture_date,Image,Quantity,Assemble_cost
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U188424,"Shaker Gray",136,1152,"Utility Cabinet 2 Doors",,U188424.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U189024,"Shaker Gray",143,1190.4,"Utility Cabinet 2 Doors",,U189024.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U189624,"Shaker Gray",150,1249.2,"Utility Cabinet 2 Doors",,U189624.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U248424,"Shaker Gray",165,1266,"Utility Cabinet 4 Doors",,U248424.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U249024,"Shaker Gray",172,1368,"Utility Cabinet 4 Doors",,U249024.PNG,99,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U249624,"Shaker Gray",180,1456.8,"Utility Cabinet 4 Doors",,U249624.PNG,98,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U308424,"Shaker Gray",194,1500,"Utility Cabinet 4 Doors",,U309024.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U309024,"Shaker Gray",201,1602,"Utility Cabinet 4 Doors",,U309024.PNG,100,30
"TEAM CABINETS","Tall Cabinets","Utilities Cabinet",SG-U309624,"Shaker Gray",210,1684.8,"Utility Cabinet 4 Doors",,U309624.PNG,99,30
"TEAM CABINETS",Panels,Panel,SG-USV2496,"Shaker Gray",10,112.8,"Panel Finished on 1 side 24x96x1/4",,USV2496.PNG,100,0
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",SG-V3021DL,"Shaker Gray",96,865.2,"Vanity Combo V3021DL",,V3021DL.PNG,99,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",SG-V3021DR,"Shaker Gray",96,865.2,"Vanity Combo V3021DR",,V3021DR.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",SG-V3621DL,"Shaker Gray",106,937.2,"Vanity Combo V3621DL",,V3621DL.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",SG-V3621DR,"Shaker Gray",106,937.2,"Vanity Combo V3621DR",,V3621DR.PNG,100,25
"TEAM CABINETS",Accessories,Valance,SG-VA30,"Shaker Gray",3,120,"Valance 30"" x 6"" x 3/4""",,VA48.PNG,100,0
"TEAM CABINETS",Accessories,Valance,SG-VA36,"Shaker Gray",4,141.6,"Valance 36"" x 6"" x 3/4""",,VA48.PNG,100,0
"TEAM CABINETS",Accessories,Valance,SG-VA42,"Shaker Gray",5,162,"Valance 42"" x 6"" x 3/4""",,VA48.PNG,100,0
"TEAM CABINETS",Accessories,Valance,SG-VA48,"Shaker Gray",6,170.4,"Valance 48"" x 6"" x 3/4""",,VA48.PNG,100,0
"TEAM CABINETS","Vanity Cabinets","Vanity Knee Drawer",SG-VKD36,"Shaker Gray",29,193.2,"Vanity Knee Drawer 36""",,VKD36.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Sink Cabinet",SG-VS24,"Shaker Gray",56,448.8,"Vanity Sink - 2 Door 2 Drawer Front",,VS24.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Sink Cabinet",SG-VS27,"Shaker Gray",60,472.8,"Vanity Sink - 2 Door 2 Drawer Front",,VS27.PNG,99,25
"TEAM CABINETS","Vanity Cabinets","Vanity Sink Cabinet",SG-VS30,"Shaker Gray",64,492,"Vanity Sink - 2 Door 2 Drawer Front",,VS30.PNG,97,25
"TEAM CABINETS","Vanity Cabinets","Vanity Sink Cabinet",SG-VS36,"Shaker Gray",73,562.8,"Vanity Sink - 2 Door 2 Drawer Front",,VS36.PNG,97,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",SG-VSD36,"Shaker Gray",85,778.8,"Vanity Combo Base 36""",,VSD36.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",SG-VSD42,"Shaker Gray",95,826.8,"Vanity Combo Base 42""",,VSD36.PNG,100,25
"TEAM CABINETS","Vanity Cabinets","Vanity Combo Cabinets",SG-VSD48,"Shaker Gray",104,909.6,"Vanity Combo Base 48""",,VSD36.PNG,98,25
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W0930,"Shaker Gray",28,212.4,"30"" High Cabinet 1 Door, 2  Shelves",,W0930.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W0936,"Shaker Gray",32,236.4,"36"" High Cabinet 1 Door, 2  Shelves",,W0936.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W0942,"Shaker Gray",37,266.4,"42"" High Cabinet 1 Door, 3 Shelves",,W0942.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W1230,"Shaker Gray",31,237.6,"30"" High Cabinet 1 Door, 2 Shelves",,W1230.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W1236,"Shaker Gray",36,273.6,"36"" High Cabinet 1 Door, 2 Shelves",,W1236.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W1242,"Shaker Gray",41,316.8,"42"" High Cabinet 1 Door, 3 Shelves",,W1242.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W1512GD,"Shaker Gray",10,128.4,"Glass Door Cabinet - Single Door",,W1512GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W1530,"Shaker Gray",36,276,"30"" High Cabinet 1 Door, 2 Shelves",,W1530.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W1530GD,"Shaker Gray",36,307.2,"Glass Door Cabinet - Single Door",,W1530GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W1536,"Shaker Gray",41,308.4,"36"" High Cabinet 1 Door, 2 Shelves",,W1536.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W1536GD,"Shaker Gray",41,350.4,"Glass Door Cabinet - Single Door",,W1536GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W1542,"Shaker Gray",48,364.8,"42"" High Cabinet 1 Door, 3 Shelves",,W1542.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W1542GD,"Shaker Gray",47,404.4,"Glass Door Cabinet - Single Door",,W1542GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W1812GD,"Shaker Gray",12,144,"Glass Door Cabinet - Single Door",,W1812GD.PNG,98,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W1830,"Shaker Gray",41,308.4,"30"" High Cabinet 1 Door, 2 Shelves",,W1830.PNG,97,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W1830GD,"Shaker Gray",40,364.8,"Glass Door Cabinet - Single Door",,W1830GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W1836,"Shaker Gray",46,350.4,"36"" High Cabinet 1 Door, 2 Shelves",,W1836.PNG,97,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W1836GD,"Shaker Gray",44,456,"Glass Door Cabinet - Single Door",,W1836GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W1842,"Shaker Gray",54,416.4,"42"" High Cabinet 1 Door, 3 Shelves",,W1842.PNG,99,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 42"" H",SG-W1842GD,"Shaker Gray",53,477.6,"Glass Door Cabinet - Single Door",,W1842GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 12"" H",SG-W2112GD,"Shaker Gray",14,158.4,"Glass Door Cabinet - Single Door",,W2112GD.PNG,100,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 30"" H",SG-W2130,"Shaker Gray",45,334.8,"30"" High Cabinet 1 Door, 2 Shelves",,W2130.PNG,91,20
"TEAM CABINETS","Wall Cabinets","Wall Cabinet 36"" H",SG-W2136,"Shaker Gray",51,394.8,"36"" High Cabinet 1 Door, 2 Shelves",,W2136.PNG,100,20
